mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.7685830116271974,0.024135962934234603,0.06036124229431152,0.001757133596427746,logistic,0.00031622776601683794,"(356, 356)",0.032,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.032}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.73325400352478,0.00757416024901937,0.06110095977783203,0.0015227657463527287,logistic,0.00031622776601683794,"(356, 356)",0.064,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.064}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8345344066619873,0.2798427564436306,0.06188158988952637,0.004455461334984334,logistic,0.00031622776601683794,"(356, 356)",0.128,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.128}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7454868316650392,0.10637910243023477,0.04239711761474609,0.0014367289103573977,logistic,0.00031622776601683794,"(178, 178, 178)",1e-06,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 1e-06}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4782321453094482,2.2219815919753922,0.04447484016418457,0.0006129184776983497,logistic,0.00031622776601683794,"(178, 178, 178)",0.001,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 0.001}",0.7930214115781127,0.0,0.0,0.0,0.8252238224990268,0.3236490468154279,0.3965182943871751,2725,0.8455409426898339,0.0,0.0,0.0,0.8546716091626272,0.3400425103704922,0.4164753296362501
6.95490460395813,3.7752400680736447,0.045804071426391604,0.0034333897141724163,logistic,0.00031622776601683794,"(178, 178, 178)",0.002,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 0.002}",0.9340388007054673,0.7719869706840391,0.8961667286937105,0.8392246294184722,0.7780468119451169,0.8438927882893611,0.06385420786977582,2071,0.9804156332848714,0.848566222307471,0.9642513766279172,0.8434601552148401,0.8272119391413897,0.8927810653152978,0.06553569672306936
4.392603969573974,0.8058427161773201,0.044972562789916994,0.0024169228321357446,logistic,0.00031622776601683794,"(178, 178, 178)",0.004,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 0.004}",0.950578338590957,0.8614916286149165,0.9208424110384894,0.9433427762039661,0.8341669873028088,0.9020844283502277,0.04618728548284651,1842,0.9898800918445446,0.9455577230005321,0.9672998525457542,0.9693176879617559,0.850047393364929,0.944420549743503,0.04922902754287059
4.786947441101074,0.8832769145115059,0.04621553421020508,0.0024153004105188715,logistic,0.00031622776601683794,"(178, 178, 178)",0.008,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 0.008}",0.9279538904899135,0.9337094499294782,0.9459936463113306,0.957983193277311,0.9611015490533563,0.9453483458122778,0.013009613129419614,217,0.9870352880570104,0.9851814001021971,0.9834887501069383,0.9856065798492117,0.9937085529671824,0.9870041142165078,0.0035378989426779746
4.91124382019043,1.2045220218063961,0.04396100044250488,0.0015127551745012322,logistic,0.00031622776601683794,"(178, 178, 178)",0.016,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 0.016}",0.9175108538350216,0.9188405797101449,0.9040385327899223,0.9346590909090908,0.9321492007104796,0.9214396515909318,0.011085464177973637,1496,0.9721957557384149,0.9920628147136639,0.9773002945763299,0.974381092038299,0.9886412161585105,0.9809162346450435,0.007946715679342528
4.613574504852295,0.5084372123748256,0.043261480331420896,0.001931365354886399,logistic,0.00031622776601683794,"(178, 178, 178)",0.032,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178, 178), 'MLP__learning_rate_init': 0.032}",0.899042004421518,0.9255962976148097,0.961218836565097,0.9676975945017181,0.919407300325262,0.9345924066856811,0.026001033684046496,847,0.9784519910360283,0.9756935497723954,0.984323362426913,0.9855466757354192,0.9765388278071162,0.9801108813555743,0.004057515478157176
